title,price,link,site
"CYBERPOWERPC Gamer Master GMA600 Gaming PC (AMD Ryzen 3 2300X 3.5GHz, 8GB DDR4, NVIDIA GeForce GT 1030 2GB, 120GB SSD, 1TB HDD, 802.11AC WiFi & Win 10 Home) Black",,/CYBERPOWERPC-Master-GMA600-GeForce-802-11AC/dp/B07PTVHBF8/ref=sr_1_46?dchild=1&keywords=PC&qid=1619718202&sr=8-46,amazon
"Lenovo IdeaCentre AIO 3, 24"" All-in-One Computer, AMD Ryzen 5 4500U Mobile Processor, Integrated Graphics, 16GB DDR4, 512GB M.2 Name SSD, DVD RW Drive, Windows 10, F0EW005SUS, Business Black",738,/Lenovo-IdeaCentre-Processor-Integrated-F0EW005SUS/dp/B089N4WC3L/ref=sr_1_47?dchild=1&keywords=PC&qid=1619718202&sr=8-47,amazon
"ASUS ROG Strix Gaming and Entertainment Desktop PC (AMD Ryzen 5 3400G 4-Core, 8GB RAM, 256GB SSD + 1TB HDD, GTX 1650, WiFi, Bluetooth, 1xHDMI, 1 Display Port (DP), Win 10 Home) with Hub",,/ASUS-Entertainment-Desktop-Bluetooth-Display/dp/B08XXX4FSP/ref=sr_1_48?dchild=1&keywords=PC&qid=1619718202&sr=8-48,amazon
"Acer Aspire TC-895-UA91 Desktop, 10th Gen Intel Core i3-10100 4-Core Processor, 8GB 2666MHz DDR4, 512GB NVMe M.2 SSD, 8X DVD, 802.11ax Wi-Fi 6, USB 3.2 Type C, Windows 10 Home",,/Acer-TC-895-UA91-i3-10100-Processor-802-11ax/dp/B088X29HF6/ref=sr_1_49?dchild=1&keywords=PC&qid=1619718205&sr=8-49,amazon
"Skytech Archangel Gaming Computer PC Desktop – RYZEN 5 2600X 6-Core 3.6 GHz, GTX 1660 6G, 500GB SSD, 16GB DDR4 3000MHz, RGB Fans, Windows 10 Home",,/Skytech-Archangel-Gaming-Computer-Desktop/dp/B0825DRV8F/ref=sr_1_50?dchild=1&keywords=PC&qid=1619718205&sr=8-50,amazon
2019 HP EliteDesk 705 G4 Lightweight Mini Desktop Computer: AMD Quad-Core Ryzen 5 Pro 2400GE up to 3.8GHz/ 8GB DDR4 RAM/ 256GB PCIe SSD/ 802.11ac WiFi/Bluetooth 5.0/ Type-C/Windows 10 Professional,,/HP-EliteDesk-705-G4-Lightweight/dp/B07ZF8GHKW/ref=sr_1_51?dchild=1&keywords=PC&qid=1619718205&sr=8-51,amazon
"Lenovo Legion T5 28IMB05 Gaming Desktop Computer, Intel Core i5-10400F 2.90GHz, 16GB RAM, 1TB SSD, NVIDIA GeForce GTX 1660 SUPER 6GB, Windows 10 Pro, Black",,/28IMB05-Desktop-Computer-i5-10400F-2-90GHz/dp/B08HVS655P/ref=sr_1_52?dchild=1&keywords=PC&qid=1619718205&sr=8-52,amazon
The PC,0,/PC-Noelle-McKenzie/dp/B07JWBGXZK/ref=sr_1_53?dchild=1&keywords=PC&qid=1619718205&sr=8-53,amazon
"Dell CFC5C OptiPlex 3050 Micro Form Factor Desktop Computer, Intel Core i5-7500T, 8GB DDR4, 256GB Solid State Drive, Windows 10 Pro",,/Dell-CFC5C-OptiPlex-Computer-i5-7500T/dp/B06X17CLQX/ref=sr_1_54?dchild=1&keywords=PC&qid=1619718205&sr=8-54,amazon
2021 Dell Inspiron I3880 Desktop Tower PC 10th Gen Intel 6-Core i5-10400 32GB RAM 512GB PCIe SSD + 1TB HDD Intel UHD Graphics HMDI VGA WiFi Bluetooth No DVD RJ-45 Windows 10 w/RE Accessories,,/Dell-Inspiron-I3880-Bluetooth-Accessories/dp/B08RS22DLV/ref=sr_1_55?dchild=1&keywords=PC&qid=1619718205&sr=8-55,amazon
